Category: All categories

Week,running shoes: (United States),nike: (United States)
2020-05-03,6,64
2020-05-10,6,63
2020-05-17,6,67
2020-05-24,6,70
2020-05-31,5,62
2020-06-07,5,65
2020-06-14,5,66
2020-06-21,5,64
2020-06-28,5,66
2020-07-05,5,60
2020-07-12,5,67
2020-07-19,5,66
2020-07-26,5,66
2020-08-02,5,65
2020-08-09,5,66
2020-08-16,5,61
2020-08-23,4,60
2020-08-30,4,58
2020-09-06,4,57
2020-09-13,4,53
2020-09-20,4,56
2020-09-27,4,55
2020-10-04,4,55
2020-10-11,4,58
2020-10-18,4,54
2020-10-25,4,55
2020-11-01,3,43
2020-11-08,4,61
2020-11-15,4,63
2020-11-22,6,87
2020-11-29,5,80
2020-12-06,5,75
2020-12-13,5,77
2020-12-20,4,72
2020-12-27,5,63
2021-01-03,5,58
2021-01-10,5,55
2021-01-17,4,52
2021-01-24,4,53
2021-01-31,4,57
2021-02-07,4,55
2021-02-14,4,51
2021-02-21,5,54
2021-02-28,6,60
2021-03-07,5,59
2021-03-14,5,65
2021-03-21,6,70
2021-03-28,5,85
2021-04-04,5,66
2021-04-11,5,61
2021-04-18,5,60
2021-04-25,5,58
2021-05-02,5,57
2021-05-09,5,53
2021-05-16,5,55
2021-05-23,5,54
2021-05-30,5,57
2021-06-06,5,51
2021-06-13,5,56
2021-06-20,5,61
2021-06-27,5,56
2021-07-04,5,59
2021-07-11,5,59
2021-07-18,5,65
2021-07-25,5,70
2021-08-01,6,72
2021-08-08,5,71
2021-08-15,5,67
2021-08-22,5,62
2021-08-29,5,61
2021-09-05,5,59
2021-09-12,5,58
2021-09-19,4,59
2021-09-26,4,55
2021-10-03,4,59
2021-10-10,4,58
2021-10-17,4,60
2021-10-24,4,58
2021-10-31,4,63
2021-11-07,5,73
2021-11-14,4,72
2021-11-21,5,100
2021-11-28,5,90
2021-12-05,5,85
2021-12-12,4,86
2021-12-19,5,85
2021-12-26,5,74
2022-01-02,4,62
2022-01-09,4,59
2022-01-16,4,53
2022-01-23,4,55
2022-01-30,4,62
2022-02-06,4,60
2022-02-13,5,56
2022-02-20,5,64
2022-02-27,5,67
2022-03-06,5,63
2022-03-13,5,65
2022-03-20,6,66
2022-03-27,6,63
2022-04-03,5,61
2022-04-10,5,62
2022-04-17,5,57
2022-04-24,5,58
2022-05-01,5,59
2022-05-08,5,58
2022-05-15,5,54
2022-05-22,5,55
2022-05-29,4,57
2022-06-05,5,52
2022-06-12,4,54
2022-06-19,5,56
2022-06-26,4,54
2022-07-03,4,54
2022-07-10,5,60
2022-07-17,5,65
2022-07-24,5,69
2022-07-31,5,72
2022-08-07,5,77
2022-08-14,5,70
2022-08-21,5,67
2022-08-28,5,63
2022-09-04,4,60
2022-09-11,4,57
2022-09-18,4,56
2022-09-25,4,59
2022-10-02,4,58
2022-10-09,4,58
2022-10-16,4,59
2022-10-23,4,51
2022-10-30,4,58
2022-11-06,4,64
2022-11-13,4,76
2022-11-20,5,100
2022-11-27,4,90
2022-12-04,4,85
2022-12-11,4,90
2022-12-18,4,83
2022-12-25,4,80
2023-01-01,4,64
2023-01-08,4,65
2023-01-15,4,64
2023-01-22,4,59
2023-01-29,4,64
2023-02-05,4,64
2023-02-12,4,61
2023-02-19,5,63
2023-02-26,5,62
2023-03-05,5,63
2023-03-12,5,65
2023-03-19,5,61
2023-03-26,5,59
2023-04-02,5,65
2023-04-09,5,61
2023-04-16,5,65
2023-04-23,5,58
2023-04-30,5,60
2023-05-07,5,58
2023-05-14,5,66
2023-05-21,5,65
2023-05-28,5,58
2023-06-04,5,54
2023-06-11,5,58
2023-06-18,4,56
2023-06-25,4,57
2023-07-02,4,59
2023-07-09,5,58
2023-07-16,4,61
2023-07-23,5,69
2023-07-30,5,78
2023-08-06,5,70
2023-08-13,5,69
2023-08-20,4,61
2023-08-27,4,60
2023-09-03,5,57
2023-09-10,4,50
2023-09-17,4,56
2023-09-24,4,53
2023-10-01,4,53
2023-10-08,4,57
2023-10-15,4,57
2023-10-22,4,56
2023-10-29,4,56
2023-11-05,4,65
2023-11-12,4,68
2023-11-19,6,98
2023-11-26,5,85
2023-12-03,4,82
2023-12-10,4,88
2023-12-17,4,82
2023-12-24,5,75
2023-12-31,4,56
2024-01-07,4,58
2024-01-14,4,50
2024-01-21,4,54
2024-01-28,4,54
2024-02-04,5,56
2024-02-11,5,54
2024-02-18,5,60
2024-02-25,5,57
2024-03-03,5,55
2024-03-10,5,56
2024-03-17,5,56
2024-03-24,5,55
2024-03-31,5,53
2024-04-07,5,53
2024-04-14,5,59
2024-04-21,5,60
2024-04-28,5,55
2024-05-05,5,54
2024-05-12,5,52
2024-05-19,5,51
2024-05-26,5,51
2024-06-02,5,53
2024-06-09,5,54
2024-06-16,5,52
2024-06-23,5,51
2024-06-30,5,53
2024-07-07,5,56
2024-07-14,5,60
2024-07-21,5,61
2024-07-28,5,67
2024-08-04,6,70
2024-08-11,6,66
2024-08-18,6,62
2024-08-25,5,57
2024-09-01,5,53
2024-09-08,5,44
2024-09-15,4,52
2024-09-22,4,51
2024-09-29,4,50
2024-10-06,4,50
2024-10-13,4,51
2024-10-20,4,51
2024-10-27,4,50
2024-11-03,4,52
2024-11-10,4,59
2024-11-17,5,67
2024-11-24,6,93
2024-12-01,5,80
2024-12-08,4,73
2024-12-15,4,76
2024-12-22,4,73
2024-12-29,5,56
2025-01-05,4,51
2025-01-12,4,50
