Category: All categories

Week,home fitness: (United States),peloton: (United States)
2020-05-03,4,66
2020-05-10,5,57
2020-05-17,5,55
2020-05-24,4,50
2020-05-31,4,44
2020-06-07,4,40
2020-06-14,4,40
2020-06-21,4,42
2020-06-28,4,43
2020-07-05,4,45
2020-07-12,4,51
2020-07-19,4,52
2020-07-26,3,49
2020-08-02,3,48
2020-08-09,3,46
2020-08-16,3,44
2020-08-23,3,43
2020-08-30,3,49
2020-09-06,3,84
2020-09-13,3,60
2020-09-20,3,56
2020-09-27,3,48
2020-10-04,3,49
2020-10-11,3,55
2020-10-18,3,53
2020-10-25,2,52
2020-11-01,2,38
2020-11-08,3,59
2020-11-15,3,61
2020-11-22,4,68
2020-11-29,3,61
2020-12-06,3,59
2020-12-13,3,57
2020-12-20,3,69
2020-12-27,4,100
2021-01-03,3,83
2021-01-10,3,76
2021-01-17,3,75
2021-01-24,3,69
2021-01-31,3,65
2021-02-07,2,61
2021-02-14,3,65
2021-02-21,2,63
2021-02-28,2,57
2021-03-07,2,58
2021-03-14,2,66
2021-03-21,2,61
2021-03-28,2,48
2021-04-04,2,49
2021-04-11,2,52
2021-04-18,2,67
2021-04-25,2,45
2021-05-02,2,86
2021-05-09,2,48
2021-05-16,2,39
2021-05-23,2,39
2021-05-30,2,38
2021-06-06,2,34
2021-06-13,2,35
2021-06-20,2,35
2021-06-27,2,35
2021-07-04,2,35
2021-07-11,2,33
2021-07-18,2,37
2021-07-25,2,36
2021-08-01,2,33
2021-08-08,2,31
2021-08-15,2,32
2021-08-22,2,45
2021-08-29,2,40
2021-09-05,2,40
2021-09-12,2,37
2021-09-19,2,38
2021-09-26,2,36
2021-10-03,2,37
2021-10-10,2,38
2021-10-17,2,36
2021-10-24,2,35
2021-10-31,2,46
2021-11-07,2,48
2021-11-14,2,46
2021-11-21,3,57
2021-11-28,2,54
2021-12-05,2,61
2021-12-12,2,78
2021-12-19,2,47
2021-12-26,3,66
2022-01-02,3,76
2022-01-09,3,66
2022-01-16,3,85
2022-01-23,3,72
2022-01-30,3,58
2022-02-06,3,96
2022-02-13,3,51
2022-02-20,3,49
2022-02-27,2,39
2022-03-06,3,44
2022-03-13,3,38
2022-03-20,3,34
2022-03-27,2,32
2022-04-03,2,31
2022-04-10,2,36
2022-04-17,2,32
2022-04-24,2,32
2022-05-01,2,32
2022-05-08,2,48
2022-05-15,2,31
2022-05-22,2,29
2022-05-29,2,28
2022-06-05,2,29
2022-06-12,2,29
2022-06-19,2,29
2022-06-26,2,28
2022-07-03,3,29
2022-07-10,2,39
2022-07-17,2,34
2022-07-24,2,31
2022-07-31,2,29
2022-08-07,2,37
2022-08-14,2,32
2022-08-21,2,34
2022-08-28,2,28
2022-09-04,2,28
2022-09-11,2,30
2022-09-18,2,30
2022-09-25,2,28
2022-10-02,2,36
2022-10-09,2,32
2022-10-16,2,28
2022-10-23,2,26
2022-10-30,2,27
2022-11-06,2,27
2022-11-13,2,32
2022-11-20,2,41
2022-11-27,2,37
2022-12-04,2,34
2022-12-11,2,33
2022-12-18,2,32
2022-12-25,2,45
2023-01-01,3,51
2023-01-08,3,40
2023-01-15,2,38
2023-01-22,2,40
2023-01-29,2,36
2023-02-05,2,33
2023-02-12,2,28
2023-02-19,2,32
2023-02-26,2,29
2023-03-05,2,30
2023-03-12,2,27
2023-03-19,2,28
2023-03-26,2,26
2023-04-02,2,25
2023-04-09,2,25
2023-04-16,2,24
2023-04-23,2,23
2023-04-30,2,24
2023-05-07,2,48
2023-05-14,2,28
2023-05-21,2,28
2023-05-28,2,23
2023-06-04,2,23
2023-06-11,2,22
2023-06-18,2,22
2023-06-25,2,23
2023-07-02,2,26
2023-07-09,2,26
2023-07-16,2,26
2023-07-23,2,24
2023-07-30,2,23
2023-08-06,2,22
2023-08-13,2,23
2023-08-20,2,26
2023-08-27,2,21
2023-09-03,2,27
2023-09-10,2,21
2023-09-17,2,20
2023-09-24,2,23
2023-10-01,2,22
2023-10-08,2,21
2023-10-15,2,23
2023-10-22,2,22
2023-10-29,2,23
2023-11-05,2,25
2023-11-12,2,33
2023-11-19,2,41
2023-11-26,2,37
2023-12-03,2,31
2023-12-10,2,29
2023-12-17,2,28
2023-12-24,2,37
2023-12-31,3,49
2024-01-07,2,38
2024-01-14,2,35
2024-01-21,2,32
2024-01-28,2,31
2024-02-04,2,27
2024-02-11,2,24
2024-02-18,2,26
2024-02-25,2,25
2024-03-03,2,24
2024-03-10,2,22
2024-03-17,2,24
2024-03-24,2,23
2024-03-31,2,24
2024-04-07,2,21
2024-04-14,2,21
2024-04-21,2,25
2024-04-28,2,25
2024-05-05,2,23
2024-05-12,2,21
2024-05-19,2,20
2024-05-26,2,20
2024-06-02,2,20
2024-06-09,2,25
2024-06-16,2,28
2024-06-23,2,25
2024-06-30,2,22
2024-07-07,2,22
2024-07-14,2,21
2024-07-21,2,18
2024-07-28,2,25
2024-08-04,2,21
2024-08-11,2,17
2024-08-18,2,22
2024-08-25,2,23
2024-09-01,2,18
2024-09-08,2,15
2024-09-15,2,15
2024-09-22,2,17
2024-09-29,2,15
2024-10-06,2,16
2024-10-13,2,16
2024-10-20,2,17
2024-10-27,2,18
2024-11-03,2,18
2024-11-10,2,22
2024-11-17,2,22
